bairro,numero_quartos,numero_banheiros,vagas_carro,area_gourmet,mobiliado,varanda,imobiliaria,tipo,preco,Link
Bonfim,4,2,1,S,N,N,S,Casa,3500,https://domiciliumimoveis.com.br/imovel/1635/casa/bonfim/sao-joao-del-rei/3
Fabricas,1,1,0,N,N,N,S,Apartamento,1200,https://domiciliumimoveis.com.br/imovel/1618/apartamento/fabricas/sao-joao-del-rei/3
Centro,3,1,0,S,N,N,S,Casa,4000,https://domiciliumimoveis.com.br/imovel/1586/casa/centro/sao-joao-del-rei/3
Fabricas,1,1,0,N,N,N,S,Kitnet,990,https://domiciliumimoveis.com.br/imovel/1569/kitnet/fabricas/sao-joao-del-rei/3
Bela Vista,0,0,0,N,N,N,S,Ponto comercial,1800,https://domiciliumimoveis.com.br/imovel/1545/ponto-comercial/bela-vista/sao-joao-del-rei/3
Matosinhos,0,3,0,N,N,N,S,Ponto comercial,6000,https://domiciliumimoveis.com.br/imovel/1535/ponto-comercial/Matosinhos/sao-joao-del-rei/4
Centro,0,2,0,N,N,N,S,Ponto comercial,650,https://domiciliumimoveis.com.br/imovel/1516/sala-comercial/centro/sao-joao-del-rei/4
Dom Bosco,1,1,0,N,N,N,S,Kitnet,850,https://domiciliumimoveis.com.br/imovel/1490/kitnet/dom-bosco/sao-joao-del-rei/4
Dom Bosco,1,1,0,N,N,N,S,Kitnet,560,https://domiciliumimoveis.com.br/imovel/1488/kitnet/dom-bosco/sao-joao-del-rei/4
Dom Bosco,1,1,0,N,N,N,S,Kitnet,560,https://domiciliumimoveis.com.br/imovel/1487/kitnet/dom-bosco/sao-joao-del-rei/4
Dom Bosco,1,1,0,N,N,N,S,Kitnet,730,https://domiciliumimoveis.com.br/imovel/1486/kitnet/dom-bosco/sao-joao-del-rei/4
Dom Bosco,1,1,0,N,N,N,S,Kitnet,730,https://domiciliumimoveis.com.br/imovel/1485/kitnet/dom-bosco/sao-joao-del-rei/4
Dom Bosco,1,1,0,N,N,N,S,Kitnet,730,https://domiciliumimoveis.com.br/imovel/1484/kitnet/dom-bosco/sao-joao-del-rei/4
Fabricas,0,2,0,N,N,N,S,Ponto comercial,10000,https://domiciliumimoveis.com.br/imovel/1459/ponto-comercial/fabricas/sao-joao-del-rei/4
Matosinhos,2,1,0,S,N,N,S,Apartamento,1250,https://domiciliumimoveis.com.br/imovel/1453/apartamento/matosinhos/sao-joao-del-rei/4
Matosinhos,3,2,1,S,N,N,S,Ponto comercial,1950,https://domiciliumimoveis.com.br/imovel/1435/sala-comercial/Matosinhos/sao-joao-del-rei/4
Centro,0,0,0,N,N,N,S,Ponto comercial,3500,https://domiciliumimoveis.com.br/imovel/1409/ponto-comercial/centro/sao-joao-del-rei/4
Centro,4,3,1,S,N,N,S,Casa,4000,https://domiciliumimoveis.com.br/imovel/1362/casa/centro/sao-joao-del-rei/4
Guarda Mor,1,1,0,N,N,N,S,Apartamento,990,https://domiciliumimoveis.com.br/imovel/1232/apartamento/guarda-mor/sao-joao-del-rei/4
Bonfim,2,1,0,S,N,N,S,Apartamento,1250,https://domiciliumimoveis.com.br/imovel/1214/apartamento/bonfim/sao-joao-del-rei/4
Colonia do Marcal,0,3,0,N,N,N,S,Galpão,6500,https://domiciliumimoveis.com.br/imovel/1104/galpao/colonia-do-marcal/sao-joao-del-rei/4
Colonia do Marcal,0,1,0,N,N,N,S,Galpão,3300,https://domiciliumimoveis.com.br/imovel/1042/galpao/colonia-do-marcal/sao-joao-del-rei/5
Santa Cruz de Mis,0,0,0,N,N,N,S,Ponto comercial,1500,https://domiciliumimoveis.com.br/imovel/981/ponto-comercial/porto-real-/santa-cruz-de-mis/5
Dom Bosco,1,1,0,N,N,N,S,Kitnet,850,https://domiciliumimoveis.com.br/imovel/825/kitnet/dom-bosco/sao-joao-del-rei/5
Dom Bosco,1,1,0,N,N,N,S,Kitnet,950,https://domiciliumimoveis.com.br/imovel/822/kitnet/dom-bosco/sao-joao-del-rei/5
Dom Bosco,1,1,0,N,N,N,S,Kitnet,960,https://domiciliumimoveis.com.br/imovel/782/kitnet/dom-bosco/sao-joao-del-rei/5
Vila Belizario,1,1,1,S,N,N,S,Apartamento,1400,https://domiciliumimoveis.com.br/imovel/674/apartamento/vila-belizario/sao-joao-del-rei/5
Fabricas,0,3,0,N,N,N,S,Casa,1500,https://domiciliumimoveis.com.br/imovel/613/temporada/fabricas/sao-joao-del-rei/5
Fabricas,1,1,0,N,N,N,S,Kitnet,1000,https://domiciliumimoveis.com.br/imovel/589/kitnet/fabricas/sao-joao-del-rei/5
Bonfim,1,1,0,N,N,N,S,Kitnet,950,https://domiciliumimoveis.com.br/imovel/584/kitnet/bonfim/sao-joao-del-rei/5
Bonfim,1,1,0,N,N,N,S,Kitnet,1200,https://domiciliumimoveis.com.br/imovel/529/kitnet/bonfim/sao-joao-del-rei/5
Dom Bosco,1,1,0,S,N,N,S,Kitnet,1250,https://domiciliumimoveis.com.br/imovel/115/kitnet/dom-bosco/sao-joao-del-rei/5
Senhor dos Montes,0,2,0,N,N,N,S,Ponto comercial,1350,https://domiciliumimoveis.com.br/imovel/69/ponto-comercial/senhor-dos-montes/sao-joao-del-rei/6
Guarda Mor,2,2,0,S,S,S,S,Casa,2400,https://www.longattiimoveis.com.br/21127
Colonia do Marcal,2,1,1,N,N,N,S,Apartamento,1300,https://www.longattiimoveis.com.br/21126
Vila Belizario,3,2,1,S,S,N,S,Apartamento,2400,https://www.longattiimoveis.com.br/21111
